id;setup_date;floor_config;room_config;date_init;date_end
2ec7a14c-f4d0-4af7-8e21-466e99812588;2022-11-01T21:27:04;63151;47722;2022-11-02T03:47:01;2022-11-01T18:39:37
c57a0746-5866-4d10-817c-e692c3e4c2cb;2022-11-01T13:07:38;47392;18407;2022-11-01T13:20:43;2022-11-02T00:05:24
e4e4b03b-beb7-4538-b2e1-af89addaca3a;2022-11-01T10:01:57;52537;91415;2022-11-01T23:54:21;2022-11-02T04:33:58
33d824a4-0433-4d7c-a5fe-9582ec2f6312;2022-11-01T08:58:22;85200;38756;2022-11-01T06:10:49;2022-11-01T09:59:35
7cae4ec5-1274-4389-b4a4-916eec0515b9;2022-11-01T15:24:31;99287;1247;2022-11-01T08:17:24;2022-11-01T22:58:28
df70d882-b126-4539-b772-78cc5bba4c45;2022-11-01T18:17:42;27873;94768;2022-11-01T06:51:40;2022-11-02T03:28:00
34f3955e-d826-41df-8e26-685cc972a58b;2022-11-02T00:33:30;72334;47799;2022-11-01T10:44:20;2022-11-02T00:11:12
90a27a2f-047a-404f-bef5-837197378d8e;2022-11-01T11:54:08;2015;4885;2022-11-02T02:46:58;2022-11-01T12:07:52
3a8822a5-906a-4b58-ba43-cc188bcf60c9;2022-11-02T02:56:38;59309;68185;2022-11-02T02:17:13;2022-11-01T09:16:13
192ffdbf-1ecc-45aa-b267-146b993625c6;2022-11-01T11:19:29;17018;63467;2022-11-01T17:36:47;2022-11-01T08:35:11
