id;dungeon_name;start_date;end_date
38aaf8ef-04d9-45f2-b74a-18f05266e56a;Borders;2022-11-01T06:33:02;2022-11-01T10:28:32
db4e9893-eb2b-4157-8238-fc995ac1a79c;Kiribati;2022-11-01T18:11:11;2022-11-01T17:52:58
0f24ca36-881b-415f-a52c-0849c0bf73a8;Sweden Soap Profound;2022-11-01T21:54:37;2022-11-01T21:32:33
78a73a3c-0d7e-4d27-b8af-cb40587e4d16;hack Algeria;2022-11-01T06:24:41;2022-11-02T04:41:48
5522004f-16a6-424a-bf6a-56e93ae64b88;olive Virtual Investor;2022-11-01T21:42:14;2022-11-01T06:15:23
100f71cd-dee4-4611-8909-cd1d700f33d0;streamline syndicate Facilitator;2022-11-01T09:19:43;2022-11-02T03:17:07
ee32f7c6-603b-4486-8190-a305284bfb01;SCSI Account;2022-11-01T14:13:14;2022-11-01T07:11:02
8230d786-f6aa-4ef6-9ae9-9b792089a704;Sausages matrices Intelligent;2022-11-01T10:42:31;2022-11-01T07:58:41
4e090430-30f7-49af-b094-ee3da63c9211;array pixel Alabama;2022-11-01T22:34:37;2022-11-01T19:08:36
49dcff88-9966-4e52-9295-7312b0458f9d;Tala cross-media;2022-11-02T03:18:45;2022-11-01T09:19:14
