id;floor_name
e779a75d-8f01-4cc7-853f-1fd593f35271;programming Nigeria markets
6c4ab294-2349-455e-bf1a-76539d1b46f5;online
dbe9cfe2-4fdc-4948-ad60-da30128c3093;Bike PNG
2229063e-ebb6-4d06-896e-6f39c6742b25;digital Account bleeding-edge
ec4a53dd-d998-4f21-b9ff-ba0cb5b16420;Rubber
7bcfdfd9-34ef-4bbe-8f0a-10bb3180497a;Bedfordshire enable
b711cb5c-5f5e-44f2-bffe-eaf54a9ba058;Fantastic Islands Chief
97e9741b-e1cc-44bf-a44b-beaefc2975cc;e-business e-enable
5228fd74-6703-424d-8c7a-8ea8fffdff81;Shoes deposit
f780c63c-8933-4f17-a1bd-3ca7cbadc0bf;Assistant
